,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,8675000.0,0.0
Ordinary Shares Number,123144000.0,155781000.0,159394000.0,198386000.0
Share Issued,123144000.0,155781000.0,168069000.0,198386000.0
Net Debt,2758000000.0,2681000000.0,2406000000.0,1819000000.0
Total Debt,3459000000.0,3955000000.0,4536000000.0,4786000000.0
Tangible Book Value,-454000000.0,220000000.0,818000000.0,1166000000.0
Invested Capital,5815000000.0,7069000000.0,8682000000.0,10036000000.0
Working Capital,398000000.0,777000000.0,1872000000.0,3305000000.0
Net Tangible Assets,-240000000.0,434000000.0,818000000.0,1380000000.0
Capital Lease Obligations,182000000.0,229000000.0,290000000.0,342000000.0
Common Stock Equity,2538000000.0,3343000000.0,4436000000.0,5592000000.0
Preferred Stock Equity,214000000.0,214000000.0,214000000.0,214000000.0
Total Capitalization,5462000000.0,6423000000.0,8032000000.0,9856000000.0
Total Equity Gross Minority Interest,2772000000.0,3577000000.0,4453000000.0,5810000000.0
Minority Interest,20000000.0,20000000.0,17000000.0,4000000.0
Stockholders Equity,2752000000.0,3557000000.0,4436000000.0,5806000000.0
Gains Losses Not Affecting Retained Earnings,-3676000000.0,-3537000000.0,-2988000000.0,-3332000000.0
Other Equity Adjustments,-3676000000.0,-3537000000.0,-2988000000.0,-3332000000.0
Treasury Stock,,0.0,177000000.0,0.0
Retained Earnings,4977000000.0,5136000000.0,5631000000.0,6281000000.0
Additional Paid In Capital,1114000000.0,1588000000.0,1802000000.0,2445000000.0
Capital Stock,337000000.0,370000000.0,168000000.0,412000000.0
Common Stock,123000000.0,156000000.0,168000000.0,198000000.0
Preferred Stock,214000000.0,214000000.0,214000000.0,214000000.0
Total Liabilities Net Minority Interest,7236000000.0,7966000000.0,8770000000.0,8931000000.0
Total Non Current Liabilities Net Minority Interest,4457000000.0,4636000000.0,5941000000.0,6453000000.0
Other Non Current Liabilities,99000000.0,103000000.0,115000000.0,139000000.0
Preferred Securities Outside Stock Equity,,214000000.0,214000000.0,214000000.0
Employee Benefits,1387000000.0,1359000000.0,1650000000.0,1906000000.0
Non Current Pension And Other Postretirement Benefit Plans,1387000000.0,1359000000.0,1650000000.0,1906000000.0
Tradeand Other Payables Non Current,14000000.0,41000000.0,40000000.0,57000000.0
Non Current Deferred Liabilities,95000000.0,95000000.0,108000000.0,35000000.0
Non Current Deferred Taxes Liabilities,95000000.0,95000000.0,108000000.0,35000000.0
Long Term Debt And Capital Lease Obligation,2851000000.0,3027000000.0,3805000000.0,4307000000.0
Long Term Capital Lease Obligation,141000000.0,161000000.0,209000000.0,257000000.0
Long Term Debt,2710000000.0,2866000000.0,3596000000.0,4050000000.0
Long Term Provisions,11000000.0,11000000.0,9000000.0,9000000.0
Current Liabilities,2779000000.0,3330000000.0,2829000000.0,2478000000.0
Other Current Liabilities,181000000.0,217000000.0,187000000.0,196000000.0
Current Deferred Liabilities,147000000.0,154000000.0,194000000.0,140000000.0
Current Deferred Revenue,147000000.0,154000000.0,194000000.0,140000000.0
Current Debt And Capital Lease Obligation,608000000.0,928000000.0,731000000.0,479000000.0
Current Capital Lease Obligation,41000000.0,68000000.0,81000000.0,85000000.0
Current Debt,567000000.0,860000000.0,650000000.0,394000000.0
Other Current Borrowings,567000000.0,860000000.0,650000000.0,394000000.0
Pensionand Other Post Retirement Benefit Plans Current,306000000.0,258000000.0,239000000.0,261000000.0
Current Provisions,119000000.0,39000000.0,31000000.0,87000000.0
Payables And Accrued Expenses,1418000000.0,1734000000.0,1447000000.0,1315000000.0
Current Accrued Expenses,233000000.0,280000000.0,231000000.0,198000000.0
Interest Payable,37000000.0,43000000.0,53000000.0,56000000.0
Payables,1185000000.0,1454000000.0,1216000000.0,1117000000.0
Dividends Payable,42000000.0,47000000.0,48000000.0,59000000.0
Total Tax Payable,99000000.0,76000000.0,99000000.0,75000000.0
Income Tax Payable,39000000.0,16000000.0,30000000.0,7000000.0
Accounts Payable,1044000000.0,1331000000.0,1069000000.0,983000000.0
Total Assets,10008000000.0,11543000000.0,13223000000.0,14741000000.0
Total Non Current Assets,6831000000.0,7436000000.0,8522000000.0,8958000000.0
